,Vid_pltform,Vid_type,Vid_id,pkt_count_dl,frame_sum_dl,frame_avg_dl,frame_min_dl,frame_max_dl,frame_var_dl,frame_skewness_dl,frame_kurtosis_dl,pkt_count_ul,frame_sum_ul,frame_avg_ul,frame_min_ul,frame_max_ul,frame_var_ul,frame_skewness_ul,frame_kurtosis_ul
0,1,1,48,125.0,170708.0,1365.664,64.0,1392.0,29915.337806451633,-6.726887751289473,45.29637297748319,19.0,2940.0,154.73684210526315,70.0,771.0,48067.09356725147,2.7059707175720322,6.14171736322619
1,1,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,48,3.0,277.0,92.33333333333333,62.0,143.0,1950.3333333333335,1.6326770941604563,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,48,18.0,5966.0,331.44444444444446,58.0,1392.0,211782.14379084972,1.651045943244615,1.4726473537408813,12.0,7471.0,622.5833333333334,70.0,1392.0,324228.99242424243,0.49468154050785734,-1.7654254921568442
4,1,1,48,411.0,520990.0,1267.6155717761558,60.0,1392.0,138726.881122782,-2.750663341506861,5.7647587289923425,42.0,14466.0,344.42857142857144,70.0,1392.0,249959.61672473868,1.4797903516003925,0.424482224724823
5,1,1,48,360.0,421237.0,1170.1027777777779,58.0,1506.0,228251.15096719284,-1.739613437752486,1.1254264611857083,209.0,62283.0,298.0047846889952,66.0,1392.0,199910.49516930434,1.7769761304522211,1.5354385826687338
6,1,1,48,74.0,88596.0,1197.2432432432433,58.0,1392.0,214590.84413180305,-2.027733531260921,2.21850349476477,64.0,7333.0,114.578125,70.0,1392.0,38999.67633928572,5.465129418658614,31.602478785488564
7,1,1,48,5.0,665.0,133.0,58.0,243.0,10087.5,0.606707075820823,-3.330679970333928,21.0,1490.0,70.95238095238095,70.0,83.0,9.947619047619046,3.4407530817020864,11.794716265486947
8,1,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1,48,14.0,1189.0,84.92857142857143,58.0,152.0,1227.302197802198,0.9000380755773834,-1.0328934965526924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,1,48,2.0,200.0,100.0,58.0,142.0,3528.0,,,12.0,4668.0,389.0,70.0,1390.0,170334.72727272726,1.374033537272294,1.8825112267202089
11,1,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,1,48,8.0,710.0,88.75,58.0,152.0,1738.5,1.008158591308597,-1.0005332146757513,6.0,2822.0,470.3333333333333,70.0,1392.0,277299.4666666667,1.3230845093933419,0.9869647311947736
14,1,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,70.0,70.0,70.0,,,
15,1,1,48,8.0,605.0,75.625,58.0,129.0,761.125,1.571749398379246,0.9037811159739721,2.0,919.0,459.5,70.0,849.0,303420.5,,
